City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,301.24,83,75,4.63,TO,1669854542
1,new norfolk,-42.7826,147.0587,288.55,38,7,1.2,AU,1669854543
2,kaohsiung,22.6163,120.3133,295.39,73,40,3.6,TW,1669854543
3,puerto ayora,-0.7393,-90.3518,294.01,89,58,3.13,EC,1669854245
4,broome,42.2506,-75.833,276.87,74,100,7.72,US,1669854544
5,sambava,-14.2667,50.1667,295.35,91,10,2.3,MG,1669854545
6,leh,34.1667,77.5833,265.32,58,95,0.31,IN,1669854336
7,rikitea,-23.1203,-134.9692,296.0,71,82,5.76,PF,1669854364
8,aykhal,66.0,111.5,241.11,98,99,6.14,RU,1669854546
9,paamiut,61.994,-49.6678,269.46,85,100,19.95,GL,1669854547
10,thompson,55.7435,-97.8558,246.24,69,0,4.12,CA,1669854548
11,geraldton,-28.7667,114.6,294.38,64,100,5.14,AU,1669854548
12,macklin,52.3334,-109.9348,255.34,96,100,6.16,CA,1669854550
13,coihaique,-45.5752,-72.0662,284.12,50,0,2.06,CL,1669854552
14,qaanaaq,77.484,-69.3632,242.73,79,14,1.71,GL,1669854445
15,barrow,71.2906,-156.7887,271.16,93,100,4.12,US,1669854511
16,ushuaia,-54.8,-68.3,281.96,57,20,8.75,AR,1669854262
17,svetlaya,46.5389,138.3297,257.7,64,86,5.87,RU,1669854554
18,kaitangata,-46.2817,169.8464,285.73,74,44,5.18,NZ,1669854555
19,albany,42.6001,-73.9662,280.57,75,100,0.89,US,1669854549
20,marawi,7.9986,124.2928,296.05,84,64,0.99,PH,1669854556
21,butaritari,3.0707,172.7902,300.55,76,21,5.57,KI,1669854556
22,dublin,37.7021,-121.9358,287.98,55,0,4.12,US,1669854512
23,perambalur,11.2333,78.8833,294.63,92,56,2.34,IN,1669854557
24,del rio,29.3627,-100.8968,287.21,44,0,2.57,US,1669854558
25,kabare,-2.4683,28.8242,288.59,95,100,0.83,CD,1669854559
26,hualmay,-11.0964,-77.6139,292.78,83,80,3.19,PE,1669854560
27,lata,40.1629,-8.3327,283.75,93,100,1.99,PT,1669854560
28,longyearbyen,78.2186,15.6401,275.06,80,75,4.12,SJ,1669854561
29,kapaa,22.0752,-159.319,301.33,72,0,8.23,US,1669854368
30,lebu,-37.6167,-73.65,284.98,74,0,9.7,CL,1669854562
31,cidreira,-30.1811,-50.2056,294.59,93,99,7.06,BR,1669854562
32,bengkulu,-3.8004,102.2655,297.26,82,93,1.16,ID,1669854563
33,tual,-5.6667,132.75,301.22,72,100,8.07,ID,1669854563
34,gilleleje,56.122,12.3106,276.54,94,100,0.45,DK,1669854564
35,kruisfontein,-34.0033,24.7314,290.31,78,15,1.03,ZA,1669854564
36,arraial do cabo,-22.9661,-42.0278,296.13,83,100,6.17,BR,1669854357
37,guider,9.9342,13.9486,297.04,30,79,2.9,CM,1669854565
38,hobart,-42.8794,147.3294,288.74,55,75,5.14,AU,1669854513
39,cape town,-33.9258,18.4232,291.63,84,40,3.6,ZA,1669854566
40,sorland,67.667,12.6934,278.07,79,99,6.15,NO,1669854567
41,karlstad,59.3793,13.5036,274.46,100,100,2.57,SE,1669854493
42,northam,51.0333,-4.2167,278.37,86,48,2.81,GB,1669854294
43,yumen,40.2833,97.2,259.25,77,81,0.71,CN,1669854568
44,narsaq,60.9167,-46.05,271.27,91,84,2.23,GL,1669854361
45,port alfred,-33.5906,26.891,291.03,94,100,2.69,ZA,1669854556
46,punta arenas,-53.15,-70.9167,283.21,53,20,11.83,CL,1669854569
47,talara,-4.5772,-81.2719,294.57,83,40,5.14,PE,1669854571
48,barahona,18.2085,-71.1008,299.05,94,40,6.17,DO,1669854571
49,griffith,41.5284,-87.4237,270.11,62,0,11.32,US,1669854571
50,corn island,12.1694,-83.0418,300.63,77,99,7.38,NI,1669854572
51,carnarvon,-24.8667,113.6333,295.28,72,6,4.75,AU,1669854572
52,lanivtsi,49.8633,26.0908,271.03,92,97,2.37,UA,1669854573
53,tasiilaq,65.6145,-37.6368,276.24,94,100,10.52,GL,1669854573
54,provideniya,64.3833,-173.3,272.21,69,0,2.0,RU,1669854574
55,mozarlandia,-14.7447,-50.5706,295.84,90,68,3.88,BR,1669854574
56,vila velha,-20.3297,-40.2925,298.12,94,100,4.12,BR,1669854574
57,samarai,-10.6167,150.6667,302.69,69,99,3.45,PG,1669854575
58,saint-philippe,-21.3585,55.7679,295.92,78,25,3.59,RE,1669854436
59,nome,64.5011,-165.4064,271.19,80,20,9.77,US,1669854576
60,trelew,-43.249,-65.3051,290.74,44,15,8.8,AR,1669854576
61,faanui,-16.4833,-151.75,300.1,76,15,6.38,PF,1669854514
62,havre-saint-pierre,50.2334,-63.5986,273.15,86,100,6.69,CA,1669854577
63,moche,-8.1711,-79.0092,293.25,88,40,4.12,PE,1669854577
64,takoradi,4.8845,-1.7554,299.18,83,95,2.41,GH,1669854578
65,praia,14.9215,-23.5087,296.77,66,67,5.73,CV,1669854578
66,opuwo,-18.0607,13.84,295.3,47,28,2.05,NA,1669854579
67,stromness,58.965,-3.296,282.13,88,100,7.6,GB,1669854579
68,mocajuba,-2.5842,-49.5072,297.37,89,94,1.52,BR,1669854580
69,fortuna,40.5982,-124.1573,284.34,82,100,8.23,US,1669854450
70,zhicheng,30.2956,111.5047,273.34,79,100,1.24,CN,1669854580
71,ulagan,50.6321,87.9563,247.45,81,47,0.55,RU,1669854581
72,marienburg,54.0359,19.0266,275.84,83,100,2.46,PL,1669854581
73,bluff,-46.6,168.3333,283.6,63,81,8.58,NZ,1669854555
74,ostersund,63.1792,14.6357,272.4,100,100,1.03,SE,1669854582
75,antalaha,-14.9003,50.2788,294.44,90,6,1.99,MG,1669854583
76,san juan,-31.5375,-68.5364,296.26,41,66,5.82,AR,1669854583
77,lokosovo,61.1333,74.8167,245.04,99,27,0.45,RU,1669854584
78,kichmengskiy gorodok,59.9816,45.7854,259.41,98,65,0.91,RU,1669854584
79,upernavik,72.7868,-56.1549,259.5,91,100,8.47,GL,1669854585
80,buraydah,26.326,43.975,291.4,58,59,5.03,SA,1669854585
81,saumur,47.3333,-0.25,279.21,94,3,3.28,FR,1669854585
82,castro,-24.7911,-50.0119,289.3,97,92,2.19,BR,1669854586
83,bethel,41.3712,-73.414,285.61,69,100,6.17,US,1669854529
84,rafsanjan,30.4067,55.9939,284.65,37,91,1.22,IR,1669854587
85,itarema,-2.9248,-39.9167,299.43,74,88,5.64,BR,1669854587
86,saint-augustin,51.226,-58.6502,258.21,93,91,0.6,CA,1669854588
87,nenjiang,49.1833,125.2167,242.73,93,23,1.62,CN,1669854588
88,san cristobal,7.7669,-72.225,293.25,95,68,2.0,VE,1669854589
89,norman wells,65.282,-126.8329,250.17,77,100,1.03,CA,1669854589
90,emerald,-23.5333,148.1667,293.9,74,85,6.88,AU,1669854590
91,agirish,61.9247,63.0231,252.4,99,99,1.13,RU,1669854590
92,flinders,-34.5833,150.8552,294.92,64,100,1.79,AU,1669854590
93,hede,33.7681,120.2517,273.24,52,100,5.0,CN,1669854591
94,busselton,-33.65,115.3333,291.35,72,100,3.87,AU,1669854393
95,hasaki,35.7333,140.8333,283.37,74,100,9.17,JP,1669854439
96,itaituba,-4.2761,-55.9836,298.09,87,93,0.47,BR,1669854592
97,east london,-33.0153,27.9116,294.66,90,100,0.7,ZA,1669854482
98,champasak,14.75,106.0,297.64,91,67,0.34,LA,1669854593
99,airai,-8.9266,125.4092,292.99,77,98,0.59,TL,1669854548
100,yellowknife,62.456,-114.3525,245.68,76,40,2.06,CA,1669854593
101,palmas de monte alto,-14.2672,-43.1619,294.54,86,99,1.16,BR,1669854594
102,victoria,22.2855,114.1577,289.44,75,100,5.36,HK,1669854426
103,georgetown,5.4112,100.3354,299.95,91,20,2.06,MY,1669854595
104,horsham,51.064,-0.3272,280.36,93,61,2.57,GB,1669854595
105,kapit,2.0167,112.9333,297.65,94,99,0.38,MY,1669854595
106,mataura,-46.1927,168.8643,283.42,82,82,4.29,NZ,1669854370
107,esperance,-33.8667,121.9,297.01,47,10,7.4,AU,1669854596
108,cravo norte,6.3017,-70.2041,297.26,84,67,2.82,CO,1669854598
109,pingliang,35.5392,106.6861,265.55,29,89,0.47,CN,1669854598
110,ziarat,30.3823,67.7282,278.86,23,78,2.05,PK,1669854599
111,chuy,-33.6971,-53.4616,293.82,90,9,6.44,UY,1669854599
112,mongomo,1.6274,11.3135,293.04,98,92,0.14,GQ,1669854600
113,dikson,73.5069,80.5464,267.85,95,100,5.42,RU,1669854600
114,korla,41.7597,86.1469,263.05,21,0,2.06,CN,1669854601
115,yarada,17.65,83.2667,296.33,94,5,1.03,IN,1669854601
116,garowe,8.4054,48.4845,294.35,78,6,2.77,SO,1669854602
117,hilo,19.7297,-155.09,303.86,82,40,3.09,US,1669854596
118,saldanha,-33.0117,17.9442,290.18,92,100,3.37,ZA,1669854606
119,ribeira grande,38.5167,-28.7,289.69,79,12,2.68,PT,1669854568
120,torbay,47.6666,-52.7314,268.3,79,0,3.09,CA,1669854609
121,magdagachi,53.45,125.8,247.85,79,4,3.86,RU,1669854610
122,clyde river,70.4692,-68.5914,239.28,68,0,1.03,CA,1669854612
123,sitka,57.0531,-135.33,271.09,29,0,0.0,US,1669854613
124,bredasdorp,-34.5322,20.0403,290.1,83,92,1.35,ZA,1669854613
125,tuktoyaktuk,69.4541,-133.0374,257.15,85,100,4.63,CA,1669854614
126,avarua,-21.2078,-159.775,301.18,78,75,7.72,CK,1669854569
127,beyneu,45.3167,55.2,268.0,29,0,2.69,KZ,1669854615
128,abha,18.2164,42.5053,284.05,87,0,0.0,SA,1669854616
129,saint-leu,-21.15,55.2833,295.63,76,22,0.29,RE,1669854616
130,gornopravdinsk,60.05,69.9,248.28,96,94,1.43,RU,1669854617
131,puerto carreno,6.189,-67.4859,297.95,75,6,4.96,CO,1669854617
132,chokurdakh,70.6333,147.9167,254.85,96,100,4.11,RU,1669854618
133,tahlequah,35.9154,-94.97,275.95,55,0,0.0,US,1669854618
134,anadyr,64.75,177.4833,272.43,80,100,12.0,RU,1669854612
